Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03279_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03280_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03281_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03282_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03285_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03286_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03287_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03293_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03296_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03297_B_75_NaCl_pH_7p2_2.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03298_B_75_NaCl_pH_7p2_2.dat  
  4.500000e-03   4.228499e-01   5.099763e-03
  4.631208e-03   3.737730e-01   4.892298e-03
  4.762417e-03   3.439884e-01   4.329036e-03
  4.893625e-03   3.151996e-01   3.987946e-03
  5.024834e-03   2.848271e-01   3.790287e-03
  5.156042e-03   2.646514e-01   3.411224e-03
  5.287251e-03   2.426240e-01   3.237269e-03
  5.418459e-03   2.180821e-01   3.032658e-03
  5.549668e-03   2.067415e-01   2.763628e-03
  5.680876e-03   1.899969e-01   2.717715e-03
  5.812085e-03   1.796361e-01   2.506876e-03
  5.943293e-03   1.706778e-01   2.411323e-03
  6.074501e-03   1.568574e-01   2.342025e-03
  6.205710e-03   1.468614e-01   2.135279e-03
  6.336918e-03   1.410514e-01   2.142667e-03
  6.468127e-03   1.322671e-01   2.025934e-03
  6.599335e-03   1.240339e-01   1.883095e-03
  6.730544e-03   1.195614e-01   1.910643e-03
  6.861752e-03   1.121032e-01   1.767199e-03
  6.992961e-03   1.079208e-01   1.735195e-03
  7.124169e-03   9.939782e-02   1.710120e-03
  7.255377e-03   9.809051e-02   1.635197e-03
  7.386586e-03   9.463930e-02   1.629070e-03
  7.517794e-03   9.232309e-02   1.582023e-03
  7.649003e-03   8.445949e-02   1.479362e-03
  7.780211e-03   8.353942e-02   1.504717e-03
  7.911420e-03   7.782120e-02   1.436217e-03
  8.042628e-03   7.554992e-02   1.409049e-03
  8.173837e-03   7.266382e-02   1.392715e-03
  8.305045e-03   7.002014e-02   1.332327e-03
  8.436253e-03   6.974989e-02   1.329406e-03
  8.567462e-03   6.953958e-02   1.335991e-03
  8.698670e-03   6.459146e-02   1.267824e-03
  8.829879e-03   6.316184e-02   1.278172e-03
  8.961087e-03   6.166583e-02   1.229483e-03
  9.092296e-03   6.074068e-02   1.216316e-03
  9.223504e-03   6.003516e-02   1.216109e-03
  9.354713e-03   5.755135e-02   1.174271e-03
  9.485921e-03   5.764986e-02   1.180417e-03
  9.617129e-03   5.628668e-02   1.162580e-03
  9.748338e-03   5.522468e-02   1.134082e-03
  9.879546e-03   5.444735e-02   1.138444e-03
  1.001075e-02   5.261155e-02   1.092387e-03
  1.014196e-02   5.425699e-02   1.116224e-03
  1.027317e-02   5.063872e-02   1.099066e-03
  1.040438e-02   4.995237e-02   1.056884e-03
  1.053559e-02   4.970467e-02   1.064778e-03
  1.066680e-02   4.899722e-02   1.046687e-03
  1.079800e-02   4.838750e-02   1.026588e-03
  1.092921e-02   4.813223e-02   1.038262e-03
  1.106042e-02   4.772451e-02   9.958513e-04
  1.119163e-02   4.609652e-02   9.854379e-04
  1.132284e-02   4.570595e-02   9.719943e-04
  1.145405e-02   4.645338e-02   9.626898e-04
  1.158526e-02   4.547266e-02   9.396053e-04
  1.171647e-02   4.312115e-02   9.265730e-04
  1.184767e-02   4.300116e-02   9.067016e-04
  1.197888e-02   4.330924e-02   9.121445e-04
  1.211009e-02   4.302178e-02   8.889405e-04
  1.224130e-02   4.282451e-02   8.830445e-04
  1.237251e-02   4.299650e-02   8.764559e-04
  1.250372e-02   4.160691e-02   8.459876e-04
  1.263492e-02   4.077532e-02   8.311198e-04
  1.276613e-02   4.171126e-02   8.149290e-04
  1.289734e-02   4.030882e-02   8.025207e-04
  1.302855e-02   3.928877e-02   8.061059e-04
  1.315976e-02   4.005797e-02   7.910247e-04
  1.329097e-02   3.957017e-02   7.840306e-04
  1.342217e-02   3.898080e-02   7.799603e-04
  1.355338e-02   3.929143e-02   7.764747e-04
  1.368459e-02   3.794141e-02   7.625440e-04
  1.381580e-02   3.762921e-02   7.581608e-04
  1.394701e-02   3.745101e-02   7.520275e-04
  1.407822e-02   3.655239e-02   7.528690e-04
  1.420942e-02   3.694699e-02   7.391432e-04
  1.434063e-02   3.532105e-02   7.339273e-04
  1.447184e-02   3.603608e-02   7.308090e-04
  1.460305e-02   3.657842e-02   7.256436e-04
  1.473426e-02   3.685759e-02   7.311517e-04
  1.486547e-02   3.656656e-02   7.176050e-04
  1.499668e-02   3.615850e-02   7.151148e-04
  1.512788e-02   3.525059e-02   7.094316e-04
  1.525909e-02   3.533702e-02   7.012368e-04
  1.539030e-02   3.560535e-02   7.017402e-04
  1.552151e-02   3.487391e-02   6.975745e-04
  1.565272e-02   3.417337e-02   6.908054e-04
  1.578393e-02   3.462152e-02   6.907310e-04
  1.591514e-02   3.456913e-02   6.790581e-04
  1.604634e-02   3.425971e-02   6.789328e-04
  1.617755e-02   3.421701e-02   6.822620e-04
  1.630876e-02   3.344767e-02   6.738121e-04
  1.643997e-02   3.352184e-02   6.664488e-04
  1.657118e-02   3.409186e-02   6.694895e-04
  1.670239e-02   3.384034e-02   6.547049e-04
  1.683359e-02   3.360650e-02   6.506885e-04
  1.696480e-02   3.398559e-02   6.433359e-04
  1.709601e-02   3.399297e-02   6.410282e-04
  1.722722e-02   3.314200e-02   6.420036e-04
  1.735843e-02   3.341127e-02   6.310856e-04
  1.748964e-02   3.345122e-02   6.312777e-04
  1.762084e-02   3.299480e-02   6.367871e-04
  1.775205e-02   3.268569e-02   6.194201e-04
  1.788326e-02   3.233353e-02   6.276887e-04
  1.801447e-02   3.235289e-02   6.178669e-04
  1.814568e-02   3.318560e-02   6.152717e-04
  1.827689e-02   3.195854e-02   6.206803e-04
  1.840809e-02   3.170995e-02   6.068582e-04
  1.853930e-02   3.132689e-02   6.054501e-04
  1.867051e-02   3.216423e-02   6.110212e-04
  1.880172e-02   3.189709e-02   5.999319e-04
  1.893293e-02   3.175879e-02   6.035553e-04
  1.906414e-02   3.183886e-02   5.882191e-04
  1.919535e-02   3.251489e-02   5.903041e-04
  1.932655e-02   3.082085e-02   5.869669e-04
  1.945776e-02   3.194867e-02   5.831265e-04
  1.958897e-02   3.155098e-02   5.809988e-04
  1.972018e-02   3.224971e-02   5.861739e-04
  1.985139e-02   3.101663e-02   5.705786e-04
  1.998260e-02   3.205954e-02   5.814106e-04
  2.011380e-02   3.233691e-02   5.731252e-04
  2.024501e-02   3.179556e-02   5.687380e-04
  2.037622e-02   3.060991e-02   5.717285e-04
  2.050743e-02   3.020432e-02   5.616077e-04
  2.063864e-02   3.060923e-02   5.636116e-04
  2.076985e-02   3.065622e-02   5.668777e-04
  2.090106e-02   3.050560e-02   5.525199e-04
  2.103226e-02   3.048435e-02   5.615647e-04
  2.116347e-02   3.106048e-02   5.575437e-04
  2.129468e-02   3.046325e-02   5.535365e-04
  2.142589e-02   3.037335e-02   5.565176e-04
  2.155710e-02   3.086281e-02   5.461857e-04
  2.168831e-02   3.038119e-02   5.480027e-04
  2.181952e-02   2.978724e-02   5.495424e-04
  2.195072e-02   3.033259e-02   5.377719e-04
  2.208193e-02   3.089532e-02   5.471234e-04
  2.221314e-02   3.053775e-02   5.424930e-04
  2.234435e-02   2.992707e-02   5.390491e-04
  2.247556e-02   3.091835e-02   5.433708e-04
  2.260677e-02   3.030360e-02   5.346989e-04
  2.273797e-02   3.045530e-02   5.324615e-04
  2.286918e-02   2.975210e-02   5.370268e-04
  2.300039e-02   2.985078e-02   5.286278e-04
  2.313160e-02   3.020981e-02   5.289021e-04
  2.326281e-02   2.975773e-02   5.248724e-04
  2.339402e-02   3.010571e-02   5.245817e-04
  2.352523e-02   3.030056e-02   5.281252e-04
  2.365643e-02   3.051857e-02   5.207119e-04
  2.378764e-02   3.021693e-02   5.188671e-04
  2.391885e-02   3.021896e-02   5.227153e-04
  2.405006e-02   3.012134e-02   5.130423e-04
  2.418127e-02   2.999351e-02   5.184068e-04
  2.431248e-02   3.025649e-02   5.103466e-04
  2.444368e-02   2.971566e-02   5.127384e-04
  2.457489e-02   2.901750e-02   5.134396e-04
  2.470610e-02   2.977319e-02   5.102347e-04
  2.483731e-02   2.994993e-02   5.070048e-04
  2.496852e-02   2.985701e-02   5.092879e-04
  2.509973e-02   2.968040e-02   5.035975e-04
  2.523093e-02   3.018316e-02   5.072836e-04
  2.536214e-02   2.971068e-02   5.035208e-04
  2.549335e-02   2.979321e-02   5.015500e-04
  2.562456e-02   2.959998e-02   5.039975e-04
  2.575577e-02   2.972323e-02   4.949978e-04
  2.588698e-02   2.983872e-02   4.981778e-04
  2.601818e-02   2.968437e-02   4.995794e-04
  2.614939e-02   2.948974e-02   4.923502e-04
  2.628060e-02   2.942539e-02   4.945446e-04
  2.641181e-02   2.957407e-02   4.930380e-04
  2.654302e-02   3.002244e-02   4.895508e-04
  2.667423e-02   2.936879e-02   4.933610e-04
  2.680544e-02   2.927868e-02   4.858834e-04
  2.693664e-02   2.905549e-02   4.881948e-04
  2.706785e-02   2.905311e-02   4.870489e-04
  2.719906e-02   2.916946e-02   4.808077e-04
  2.733027e-02   2.877736e-02   4.826132e-04
  2.746148e-02   2.968530e-02   4.821662e-04
  2.759269e-02   2.913015e-02   4.799095e-04
  2.772389e-02   2.872518e-02   4.815932e-04
  2.785510e-02   2.939220e-02   4.735142e-04
  2.798631e-02   2.890349e-02   4.762861e-04
  2.811752e-02   2.901799e-02   4.768746e-04
  2.824873e-02   2.924799e-02   4.740503e-04
  2.837994e-02   2.964655e-02   4.735394e-04
  2.851115e-02   2.937905e-02   4.725217e-04
  2.864235e-02   2.906843e-02   4.685812e-04
  2.877356e-02   2.909693e-02   4.728332e-04
  2.890477e-02   2.870105e-02   4.658677e-04
  2.903598e-02   2.874097e-02   4.686298e-04
  2.916719e-02   2.931332e-02   4.671761e-04
  2.929840e-02   2.883936e-02   4.634907e-04
  2.942961e-02   2.936001e-02   4.644674e-04
  2.956081e-02   2.891352e-02   4.622885e-04
  2.969202e-02   2.927792e-02   4.627731e-04
  2.982323e-02   2.880572e-02   4.638658e-04
  2.995444e-02   2.937006e-02   4.580659e-04
  3.008565e-02   2.839368e-02   4.598742e-04
  3.021686e-02   2.856878e-02   4.571126e-04
  3.034806e-02   2.927343e-02   4.554975e-04
  3.047927e-02   2.872814e-02   4.567311e-04
  3.061048e-02   2.965082e-02   4.570050e-04
  3.074169e-02   2.915768e-02   4.534607e-04
  3.087290e-02   2.896263e-02   4.564265e-04
  3.100411e-02   2.952843e-02   4.485924e-04
  3.113532e-02   2.945314e-02   4.546809e-04
  3.126652e-02   2.912783e-02   4.570548e-04
  3.139773e-02   2.861799e-02   4.565482e-04
  3.152894e-02   2.933562e-02   4.609760e-04
  3.166015e-02   2.923047e-02   4.616036e-04
  3.179136e-02   2.889781e-02   4.599664e-04
  3.192257e-02   2.862017e-02   4.669045e-04
  3.205377e-02   2.880350e-02   4.609181e-04
  3.218498e-02   2.891466e-02   4.644354e-04
  3.231619e-02   2.896279e-02   4.638220e-04
  3.244740e-02   2.898545e-02   4.613962e-04
  3.257861e-02   2.923839e-02   4.652168e-04
  3.270982e-02   2.871647e-02   4.634051e-04
  3.284103e-02   2.869113e-02   4.639832e-04
  3.297223e-02   2.818844e-02   4.658865e-04
  3.310344e-02   2.939069e-02   4.615976e-04
  3.323465e-02   2.852173e-02   4.630113e-04
  3.336586e-02   2.880164e-02   4.635721e-04
