Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03449_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03450_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03451_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03452_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03455_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03456_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03457_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03460_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03461_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03462_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03463_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03466_B_75_NaCl_pH_7p2_4.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03467_B_75_NaCl_pH_7p2_4.dat  
  4.500000e-03   4.296918e-01   4.724740e-03
  4.631208e-03   3.887106e-01   4.584500e-03
  4.762417e-03   3.441839e-01   3.978538e-03
  4.893625e-03   3.139597e-01   3.656134e-03
  5.024834e-03   2.950336e-01   3.544854e-03
  5.156042e-03   2.721876e-01   3.176155e-03
  5.287251e-03   2.499754e-01   3.018538e-03
  5.418459e-03   2.286567e-01   2.850178e-03
  5.549668e-03   2.146451e-01   2.586605e-03
  5.680876e-03   2.000883e-01   2.561143e-03
  5.812085e-03   1.874618e-01   2.346524e-03
  5.943293e-03   1.793084e-01   2.267405e-03
  6.074501e-03   1.627537e-01   2.187383e-03
  6.205710e-03   1.504325e-01   1.982437e-03
  6.336918e-03   1.444061e-01   1.991129e-03
  6.468127e-03   1.343585e-01   1.872587e-03
  6.599335e-03   1.287452e-01   1.760525e-03
  6.730544e-03   1.221324e-01   1.775973e-03
  6.861752e-03   1.124730e-01   1.623785e-03
  6.992961e-03   1.085644e-01   1.596524e-03
  7.124169e-03   1.042433e-01   1.597800e-03
  7.255377e-03   9.703334e-02   1.499464e-03
  7.386586e-03   9.320423e-02   1.486861e-03
  7.517794e-03   9.111793e-02   1.440649e-03
  7.649003e-03   8.756311e-02   1.376087e-03
  7.780211e-03   8.456396e-02   1.392155e-03
  7.911420e-03   7.960818e-02   1.327795e-03
  8.042628e-03   7.573108e-02   1.293288e-03
  8.173837e-03   7.514075e-02   1.289778e-03
  8.305045e-03   7.348556e-02   1.247102e-03
  8.436253e-03   7.017692e-02   1.225783e-03
  8.567462e-03   6.734877e-02   1.212699e-03
  8.698670e-03   6.673889e-02   1.172979e-03
  8.829879e-03   6.529268e-02   1.178896e-03
  8.961087e-03   6.220548e-02   1.133049e-03
  9.092296e-03   6.279594e-02   1.128750e-03
  9.223504e-03   5.909971e-02   1.110057e-03
  9.354713e-03   5.950144e-02   1.088025e-03
  9.485921e-03   5.919982e-02   1.095324e-03
  9.617129e-03   5.809205e-02   1.072829e-03
  9.748338e-03   5.544814e-02   1.046349e-03
  9.879546e-03   5.487308e-02   1.049061e-03
  1.001075e-02   5.263160e-02   1.004323e-03
  1.014196e-02   5.292072e-02   1.019685e-03
  1.027317e-02   5.271111e-02   1.021889e-03
  1.040438e-02   5.081080e-02   9.747042e-04
  1.053559e-02   5.091454e-02   9.837120e-04
  1.066680e-02   4.988720e-02   9.648430e-04
  1.079800e-02   4.882842e-02   9.456334e-04
  1.092921e-02   4.952848e-02   9.631036e-04
  1.106042e-02   4.748247e-02   9.160025e-04
  1.119163e-02   4.615961e-02   9.097284e-04
  1.132284e-02   4.676921e-02   8.971924e-04
  1.145405e-02   4.495001e-02   8.756452e-04
  1.158526e-02   4.559142e-02   8.619551e-04
  1.171647e-02   4.420857e-02   8.542411e-04
  1.184767e-02   4.427441e-02   8.380934e-04
  1.197888e-02   4.369793e-02   8.391030e-04
  1.211009e-02   4.294644e-02   8.151910e-04
  1.224130e-02   4.279435e-02   8.070096e-04
  1.237251e-02   4.168654e-02   7.998199e-04
  1.250372e-02   4.174011e-02   7.768436e-04
  1.263492e-02   4.061341e-02   7.622561e-04
  1.276613e-02   3.981476e-02   7.413310e-04
  1.289734e-02   4.039297e-02   7.366015e-04
  1.302855e-02   3.942976e-02   7.396495e-04
  1.315976e-02   4.002008e-02   7.244898e-04
  1.329097e-02   3.920691e-02   7.170973e-04
  1.342217e-02   3.820295e-02   7.169282e-04
  1.355338e-02   3.903109e-02   7.101286e-04
  1.368459e-02   3.900287e-02   7.041403e-04
  1.381580e-02   3.726462e-02   6.950111e-04
  1.394701e-02   3.774680e-02   6.917421e-04
  1.407822e-02   3.790333e-02   6.936169e-04
  1.420942e-02   3.736533e-02   6.805973e-04
  1.434063e-02   3.708207e-02   6.788174e-04
  1.447184e-02   3.657191e-02   6.716933e-04
  1.460305e-02   3.594515e-02   6.664686e-04
  1.473426e-02   3.594483e-02   6.693395e-04
  1.486547e-02   3.598798e-02   6.573639e-04
  1.499668e-02   3.630722e-02   6.563717e-04
  1.512788e-02   3.417263e-02   6.501223e-04
  1.525909e-02   3.508134e-02   6.449846e-04
  1.539030e-02   3.518414e-02   6.453453e-04
  1.552151e-02   3.473337e-02   6.406632e-04
  1.565272e-02   3.363240e-02   6.345306e-04
  1.578393e-02   3.455422e-02   6.347982e-04
  1.591514e-02   3.508837e-02   6.262673e-04
  1.604634e-02   3.432324e-02   6.243821e-04
  1.617755e-02   3.462909e-02   6.280104e-04
  1.630876e-02   3.395378e-02   6.193704e-04
  1.643997e-02   3.435842e-02   6.139597e-04
  1.657118e-02   3.424016e-02   6.158534e-04
  1.670239e-02   3.425923e-02   5.996006e-04
  1.683359e-02   3.400263e-02   5.979394e-04
  1.696480e-02   3.395913e-02   5.919216e-04
  1.709601e-02   3.354020e-02   5.863149e-04
