Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03429_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03430_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03431_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03432_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03435_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03436_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03437_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03440_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03442_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03443_WT_0p8_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03446_WT_0p8_75_NaCl.dat  
  4.500000e-03   4.787736e-01   5.410999e-03
  4.631208e-03   4.262849e-01   5.209846e-03
  4.762417e-03   3.896433e-01   4.593272e-03
  4.893625e-03   3.592827e-01   4.243039e-03
  5.024834e-03   3.320852e-01   4.079970e-03
  5.156042e-03   3.164624e-01   3.716152e-03
  5.287251e-03   2.866898e-01   3.506922e-03
  5.418459e-03   2.699972e-01   3.358207e-03
  5.549668e-03   2.572425e-01   3.066981e-03
  5.680876e-03   2.382453e-01   3.024247e-03
  5.812085e-03   2.196281e-01   2.751798e-03
  5.943293e-03   2.158226e-01   2.693105e-03
  6.074501e-03   1.996873e-01   2.619255e-03
  6.205710e-03   1.856746e-01   2.378391e-03
  6.336918e-03   1.837789e-01   2.421603e-03
  6.468127e-03   1.686643e-01   2.261418e-03
  6.599335e-03   1.599144e-01   2.108459e-03
  6.730544e-03   1.563302e-01   2.147133e-03
  6.861752e-03   1.499087e-01   2.000158e-03
  6.992961e-03   1.434155e-01   1.957019e-03
  7.124169e-03   1.415426e-01   1.980272e-03
  7.255377e-03   1.341330e-01   1.860826e-03
  7.386586e-03   1.322150e-01   1.860843e-03
  7.517794e-03   1.258229e-01   1.788449e-03
  7.649003e-03   1.233553e-01   1.713476e-03
  7.780211e-03   1.169114e-01   1.710561e-03
  7.911420e-03   1.125362e-01   1.645239e-03
  8.042628e-03   1.111104e-01   1.618259e-03
  8.173837e-03   1.116039e-01   1.623392e-03
  8.305045e-03   1.103340e-01   1.567751e-03
  8.436253e-03   1.042111e-01   1.529059e-03
  8.567462e-03   1.058163e-01   1.545098e-03
  8.698670e-03   1.009358e-01   1.474188e-03
  8.829879e-03   9.798403e-02   1.473399e-03
  8.961087e-03   9.769007e-02   1.430518e-03
  9.092296e-03   9.406490e-02   1.401850e-03
  9.223504e-03   9.377117e-02   1.405772e-03
  9.354713e-03   9.210994e-02   1.360736e-03
  9.485921e-03   9.316427e-02   1.370027e-03
  9.617129e-03   9.177483e-02   1.348730e-03
  9.748338e-03   9.086056e-02   1.326368e-03
  9.879546e-03   8.906437e-02   1.318745e-03
  1.001075e-02   8.581985e-02   1.255203e-03
  1.014196e-02   8.656922e-02   1.289234e-03
  1.027317e-02   8.665856e-02   1.280568e-03
  1.040438e-02   8.376226e-02   1.222843e-03
  1.053559e-02   8.112204e-02   1.216697e-03
  1.066680e-02   8.060274e-02   1.194659e-03
  1.079800e-02   8.027016e-02   1.178915e-03
  1.092921e-02   8.052593e-02   1.198257e-03
  1.106042e-02   7.890749e-02   1.144554e-03
  1.119163e-02   7.706588e-02   1.130150e-03
  1.132284e-02   7.679252e-02   1.112271e-03
  1.145405e-02   7.619017e-02   1.095269e-03
  1.158526e-02   7.659351e-02   1.073954e-03
  1.171647e-02   7.286198e-02   1.052657e-03
  1.184767e-02   7.477132e-02   1.043138e-03
  1.197888e-02   7.222813e-02   1.035329e-03
  1.211009e-02   7.457904e-02   1.020765e-03
  1.224130e-02   7.173340e-02   1.000062e-03
  1.237251e-02   7.021779e-02   9.841477e-04
  1.250372e-02   7.027531e-02   9.579604e-04
  1.263492e-02   7.155506e-02   9.492856e-04
  1.276613e-02   7.024031e-02   9.211292e-04
  1.289734e-02   6.922298e-02   9.089341e-04
  1.302855e-02   6.809910e-02   9.100973e-04
  1.315976e-02   6.820258e-02   8.915054e-04
  1.329097e-02   6.663455e-02   8.805541e-04
  1.342217e-02   6.559225e-02   8.748693e-04
  1.355338e-02   6.683839e-02   8.708991e-04
  1.368459e-02   6.633281e-02   8.581335e-04
  1.381580e-02   6.546221e-02   8.540124e-04
  1.394701e-02   6.440875e-02   8.439068e-04
  1.407822e-02   6.462731e-02   8.441453e-04
  1.420942e-02   6.434177e-02   8.314880e-04
  1.434063e-02   6.312686e-02   8.251501e-04
  1.447184e-02   6.327172e-02   8.202448e-04
  1.460305e-02   6.332124e-02   8.102299e-04
  1.473426e-02   6.328788e-02   8.170142e-04
  1.486547e-02   6.258739e-02   8.017577e-04
  1.499668e-02   6.261568e-02   7.958416e-04
  1.512788e-02   6.201942e-02   7.951874e-04
  1.525909e-02   5.976899e-02   7.772819e-04
  1.539030e-02   6.107457e-02   7.815341e-04
  1.552151e-02   6.082351e-02   7.784977e-04
  1.565272e-02   6.191851e-02   7.762342e-04
  1.578393e-02   6.028220e-02   7.698296e-04
  1.591514e-02   5.889721e-02   7.520282e-04
  1.604634e-02   5.920586e-02   7.532685e-04
  1.617755e-02   5.991473e-02   7.588116e-04
  1.630876e-02   6.009154e-02   7.526746e-04
  1.643997e-02   5.850903e-02   7.392966e-04
  1.657118e-02   5.857495e-02   7.413960e-04
  1.670239e-02   5.803709e-02   7.206036e-04
  1.683359e-02   5.873550e-02   7.202547e-04
  1.696480e-02   5.809406e-02   7.110175e-04
  1.709601e-02   5.845785e-02   7.115140e-04
  1.722722e-02   5.843061e-02   7.123268e-04
  1.735843e-02   5.763217e-02   6.966843e-04
  1.748964e-02   5.590129e-02   6.943388e-04
  1.762084e-02   5.595637e-02   7.000752e-04
  1.775205e-02   5.662480e-02   6.818092e-04
  1.788326e-02   5.588036e-02   6.903368e-04
  1.801447e-02   5.582564e-02   6.828773e-04
  1.814568e-02   5.475293e-02   6.698126e-04
  1.827689e-02   5.559510e-02   6.820558e-04
  1.840809e-02   5.490241e-02   6.688109e-04
  1.853930e-02   5.404549e-02   6.636868e-04
  1.867051e-02   5.382010e-02   6.661033e-04
  1.880172e-02   5.378404e-02   6.539044e-04
  1.893293e-02   5.349084e-02   6.588837e-04
