Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/Flow_Cell_Batch/75mM_NaCl/WT/WT_2p5_75NaCl_pH72_Avg.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/Flow_Cell_Batch/75mM_NaCl/WT/B_75NaCl_pH72_2_Avg.dat
  4.500000e-03   9.657000e-02   7.292289e-03
  4.631208e-03   8.561350e-02   6.996053e-03
  4.762417e-03   8.762820e-02   6.223095e-03
  4.893625e-03   8.731690e-02   5.758315e-03
  5.024834e-03   8.954170e-02   5.514964e-03
  5.156042e-03   8.352490e-02   4.962968e-03
  5.287251e-03   8.121000e-02   4.727107e-03
  5.418459e-03   8.838640e-02   4.486757e-03
  5.549668e-03   8.232150e-02   4.083235e-03
  5.680876e-03   8.454850e-02   4.048888e-03
  5.812085e-03   8.293440e-02   3.743919e-03
  5.943293e-03   8.164340e-02   3.611908e-03
  6.074501e-03   8.679490e-02   3.552399e-03
  6.205710e-03   8.241060e-02   3.240005e-03
  6.336918e-03   8.091120e-02   3.257328e-03
  6.468127e-03   8.016110e-02   3.089086e-03
  6.599335e-03   7.988410e-02   2.889407e-03
  6.730544e-03   7.725610e-02   2.929045e-03
  6.861752e-03   7.579380e-02   2.714877e-03
  6.992961e-03   7.523250e-02   2.672323e-03
  7.124169e-03   7.826668e-02   2.661438e-03
  7.255377e-03   7.701319e-02   2.543242e-03
  7.386586e-03   7.916740e-02   2.546086e-03
  7.517794e-03   7.262921e-02   2.451949e-03
  7.649003e-03   7.663331e-02   2.324778e-03
  7.780211e-03   7.156378e-02   2.344981e-03
  7.911420e-03   7.521870e-02   2.260218e-03
  8.042628e-03   7.557098e-02   2.222247e-03
  8.173837e-03   7.590628e-02   2.201675e-03
  8.305045e-03   7.503586e-02   2.109941e-03
  8.436253e-03   7.271731e-02   2.094814e-03
  8.567462e-03   7.063382e-02   2.099295e-03
  8.698670e-03   7.249264e-02   2.005461e-03
  8.829879e-03   7.278296e-02   2.025839e-03
  8.961087e-03   7.153437e-02   1.947305e-03
  9.092296e-03   7.160562e-02   1.927084e-03
  9.223504e-03   6.900504e-02   1.918520e-03
  9.354713e-03   7.224785e-02   1.866129e-03
  9.485921e-03   6.975594e-02   1.865915e-03
  9.617129e-03   7.060552e-02   1.839649e-03
  9.748338e-03   7.039002e-02   1.802375e-03
  9.879546e-03   6.964325e-02   1.801700e-03
  1.001075e-02   7.152985e-02   1.737885e-03
  1.014196e-02   6.754831e-02   1.763631e-03
  1.027317e-02   6.751228e-02   1.736632e-03
  1.040438e-02   6.907213e-02   1.676727e-03
  1.053559e-02   6.707433e-02   1.681178e-03
  1.066680e-02   6.736808e-02   1.652063e-03
  1.079800e-02   6.531710e-02   1.616418e-03
  1.092921e-02   6.536937e-02   1.635446e-03
  1.106042e-02   6.377739e-02   1.564628e-03
  1.119163e-02   6.601458e-02   1.557216e-03
  1.132284e-02   6.647065e-02   1.537680e-03
  1.145405e-02   6.263502e-02   1.507776e-03
  1.158526e-02   6.499314e-02   1.478648e-03
  1.171647e-02   6.605135e-02   1.463913e-03
  1.184767e-02   6.426984e-02   1.429505e-03
  1.197888e-02   6.327026e-02   1.432243e-03
  1.211009e-02   6.244962e-02   1.395072e-03
  1.224130e-02   6.244139e-02   1.381927e-03
  1.237251e-02   6.151620e-02   1.370136e-03
  1.250372e-02   6.241939e-02   1.325936e-03
  1.263492e-02   6.264848e-02   1.302904e-03
  1.276613e-02   5.958124e-02   1.269258e-03
  1.289734e-02   6.020448e-02   1.250635e-03
  1.302855e-02   6.250163e-02   1.263829e-03
  1.315976e-02   5.955290e-02   1.231680e-03
  1.329097e-02   5.851904e-02   1.217439e-03
  1.342217e-02   5.973381e-02   1.215732e-03
  1.355338e-02   5.964348e-02   1.206743e-03
  1.368459e-02   6.022514e-02   1.189833e-03
  1.381580e-02   5.850573e-02   1.178885e-03
  1.394701e-02   5.977567e-02   1.172511e-03
  1.407822e-02   6.133864e-02   1.176549e-03
  1.420942e-02   5.833032e-02   1.148571e-03
  1.434063e-02   5.941496e-02   1.142228e-03
  1.447184e-02   5.765171e-02   1.134410e-03
  1.460305e-02   5.803590e-02   1.127900e-03
  1.473426e-02   5.587350e-02   1.128288e-03
  1.486547e-02   5.583689e-02   1.109266e-03
  1.499668e-02   5.510058e-02   1.102305e-03
  1.512788e-02   5.619243e-02   1.097628e-03
  1.525909e-02   5.408936e-02   1.079126e-03
  1.539030e-02   5.346615e-02   1.078810e-03
  1.552151e-02   5.476218e-02   1.074626e-03
  1.565272e-02   5.528606e-02   1.064592e-03
  1.578393e-02   5.468299e-02   1.063674e-03
  1.591514e-02   5.416146e-02   1.045045e-03
  1.604634e-02   5.481774e-02   1.046423e-03
  1.617755e-02   5.345783e-02   1.047538e-03
  1.630876e-02   5.325206e-02   1.033353e-03
  1.643997e-02   5.210332e-02   1.018107e-03
  1.657118e-02   5.329565e-02   1.026995e-03
  1.670239e-02   5.214270e-02   9.989962e-04
  1.683359e-02   5.285516e-02   9.956354e-04
  1.696480e-02   5.194899e-02   9.842056e-04
  1.709601e-02   5.106991e-02   9.789974e-04
  1.722722e-02   5.033329e-02   9.778202e-04
  1.735843e-02   5.067782e-02   9.621154e-04
  1.748964e-02   5.031835e-02   9.624995e-04
  1.762084e-02   5.065167e-02   9.710591e-04
  1.775205e-02   5.028772e-02   9.426587e-04
  1.788326e-02   4.953998e-02   9.525659e-04
  1.801447e-02   4.892006e-02   9.385736e-04
  1.814568e-02   4.806577e-02   9.312543e-04
  1.827689e-02   4.885598e-02   9.406290e-04
  1.840809e-02   4.889528e-02   9.217593e-04
  1.853930e-02   4.887633e-02   9.185635e-04
  1.867051e-02   4.601954e-02   9.204183e-04
  1.880172e-02   4.737796e-02   9.056586e-04
  1.893293e-02   4.753461e-02   9.138710e-04
  1.906414e-02   4.601087e-02   8.862018e-04
  1.919535e-02   4.500867e-02   8.852226e-04
  1.932655e-02   4.755120e-02   8.864064e-04
  1.945776e-02   4.617840e-02   8.791027e-04
  1.958897e-02   4.605986e-02   8.744294e-04
  1.972018e-02   4.473954e-02   8.796974e-04
  1.985139e-02   4.579962e-02   8.584364e-04
  1.998260e-02   4.522913e-02   8.740558e-04
  2.011380e-02   4.305890e-02   8.570898e-04
  2.024501e-02   4.487623e-02   8.546766e-04
  2.037622e-02   4.495742e-02   8.593611e-04
  2.050743e-02   4.535911e-02   8.449105e-04
  2.063864e-02   4.311579e-02   8.432622e-04
  2.076985e-02   4.368069e-02   8.482339e-04
  2.090106e-02   4.351914e-02   8.264458e-04
  2.103226e-02   4.390566e-02   8.408240e-04
  2.116347e-02   4.148163e-02   8.294980e-04
  2.129468e-02   4.243313e-02   8.258197e-04
  2.142589e-02   4.277220e-02   8.307686e-04
  2.155710e-02   4.066308e-02   8.130578e-04
  2.168831e-02   4.252426e-02   8.182780e-04
  2.181952e-02   4.224266e-02   8.193467e-04
  2.195072e-02   3.973735e-02   7.970791e-04
  2.208193e-02   3.955438e-02   8.116002e-04
  2.221314e-02   4.073192e-02   8.063737e-04
  2.234435e-02   3.982295e-02   7.991745e-04
  2.247556e-02   3.955269e-02   8.058472e-04
  2.260677e-02   3.963617e-02   7.911792e-04
  2.273797e-02   3.847747e-02   7.878143e-04
  2.286918e-02   3.955508e-02   7.958239e-04
  2.300039e-02   3.902817e-02   7.820359e-04
  2.313160e-02   3.856203e-02   7.828139e-04
  2.326281e-02   3.891806e-02   7.767424e-04
  2.339402e-02   3.752690e-02   7.743646e-04
  2.352523e-02   3.712360e-02   7.774626e-04
  2.365643e-02   3.691172e-02   7.674948e-04
  2.378764e-02   3.743108e-02   7.659472e-04
  2.391885e-02   3.626084e-02   7.695963e-04
