# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472144_ascii/b21-472144_00018.dat
q(1/A)          Column          Error           
0.0045000000    0.4071943000    0.0166375080    
0.0046312084    0.3649922100    0.0160678860    
0.0047624169    0.3327143300    0.0141612390    
0.0048936253    0.2973576000    0.0128919970    
0.0050248338    0.2711856900    0.0123012070    
0.0051560422    0.2718972300    0.0114897370    
0.0052872507    0.2531539200    0.0109859250    
0.0054184591    0.2186398300    0.0100743690    
0.0055496676    0.1927390200    0.0088898955    
0.0056808760    0.2144821700    0.0095632685    
0.0058120845    0.1956208700    0.0086621716    
0.0059432929    0.1555466700    0.0076621650    
0.0060745014    0.1631004700    0.0079291653    
0.0062057098    0.1496497900    0.0071729758    
0.0063369183    0.1348996600    0.0069996266    
0.0064681267    0.1378168000    0.0068777670    
0.0065993352    0.1272078100    0.0063032733    
0.0067305436    0.1137348600    0.0062736693    
0.0068617521    0.1105037700    0.0057868347    
0.0069929605    0.1011981900    0.0056162693    
0.0071241689    0.0983704250    0.0056600260    
0.0072553774    0.0904881240    0.0053193021    
0.0073865858    0.0905408050    0.0052933230    
0.0075177943    0.0877850920    0.0051654971    
0.0076490027    0.0847716000    0.0048981965    
0.0077802112    0.0836971200    0.0050553851    
0.0079114196    0.0759749090    0.0047469178    
0.0080426281    0.0732814890    0.0046364438    
0.0081738365    0.0812577110    0.0048074907    
0.0083050450    0.0741734590    0.0045454521    
0.0084362534    0.0661309500    0.0043966304    
0.0085674619    0.0679760620    0.0044626033    
0.0086986703    0.0663765710    0.0042026531    
0.0088298788    0.0635441770    0.0042332900    
0.0089610872    0.0600986070    0.0040756954    
0.0090922957    0.0538334150    0.0038887018    
0.0092235041    0.0600668360    0.0041320320    
0.0093547126    0.0586578240    0.0039230191    
0.0094859210    0.0543966700    0.0038675917    
0.0096171294    0.0533505850    0.0038145256    
0.0097483379    0.0583986880    0.0038273442    
0.0098795463    0.0541150160    0.0037800564    
0.0100107550    0.0512420050    0.0036037303    
0.0101419630    0.0492874050    0.0036296926    
0.0102731720    0.0494992110    0.0036430988    
0.0104043800    0.0463315120    0.0034244499    
0.0105355890    0.0514446220    0.0036065086    
0.0106667970    0.0403448830    0.0033495575    
0.0107980050    0.0484478570    0.0034300501    
0.0109292140    0.0473009070    0.0034430521    
0.0110604220    0.0460627400    0.0033203067    
0.0111916310    0.0451186260    0.0032827491    
0.0113228390    0.0468752540    0.0032700880    
0.0114540480    0.0430890060    0.0031716763    
0.0115852560    0.0422834900    0.0030688431    
0.0117164650    0.0426560630    0.0030911270    
0.0118476730    0.0413462350    0.0030212730    
0.0119788820    0.0413981180    0.0030195976    
0.0121100900    0.0421957270    0.0029376772    
0.0122412980    0.0446039710    0.0029568308    
0.0123725070    0.0403243270    0.0028463179    
0.0125037150    0.0408747510    0.0028089774    
0.0126349240    0.0337091190    0.0027040377    
0.0127661320    0.0391167540    0.0026872677    
0.0128973410    0.0395070700    0.0026697347    
0.0130285490    0.0386402860    0.0026746898    
0.0131597580    0.0375277010    0.0025955759    
0.0132909660    0.0414922900    0.0026362524    
0.0134221740    0.0396031630    0.0026093931    
0.0135533830    0.0385803370    0.0025753082    
0.0136845910    0.0398715120    0.0025497247    
0.0138158000    0.0371572560    0.0025291225    
0.0139470080    0.0369311510    0.0025021105    
0.0140782170    0.0369016290    0.0024908083    
0.0142094250    0.0401305270    0.0025071919    
0.0143406340    0.0353153840    0.0024686616    
0.0144718420    0.0372522440    0.0024296290    
0.0146030500    0.0346147030    0.0023989606    
0.0147342590    0.0356849190    0.0024298870    
0.0148654670    0.0371267960    0.0023834486    
0.0149966760    0.0354413890    0.0023766990    
0.0151278840    0.0351985350    0.0023777776    
0.0152590930    0.0341875960    0.0023349289    
0.0153903010    0.0359866560    0.0023393549    
0.0155215100    0.0317929750    0.0022885346    
0.0156527180    0.0333413820    0.0022787722    
0.0157839260    0.0363310410    0.0023229031    
0.0159151350    0.0325586280    0.0022586921    
0.0160463430    0.0339778560    0.0022540592    
0.0161775520    0.0332946660    0.0022851843    
0.0163087600    0.0355281640    0.0022559860    
0.0164399690    0.0369964250    0.0022531187    
0.0165711770    0.0330509850    0.0022308910    
0.0167023860    0.0329661020    0.0021727128    
0.0168335940    0.0341042720    0.0021905835    
0.0169648030    0.0324143690    0.0021298425    
0.0170960110    0.0298683740    0.0021120130    
0.0172272190    0.0327904160    0.0021483524    
0.0173584280    0.0362272210    0.0021290394    
0.0174896360    0.0320609140    0.0020957421    
0.0176208450    0.0316879570    0.0021162233    
0.0177520530    0.0312524600    0.0020644730    
0.0178832620    0.0321564620    0.0021008123    
0.0180144700    0.0341223470    0.0020775687    
0.0181456790    0.0329473900    0.0020485535    
0.0182768870    0.0345897460    0.0020791958    
0.0184080950    0.0309835230    0.0020141138    
0.0185393040    0.0355291130    0.0020465024    
0.0186705120    0.0320224730    0.0020320917    
0.0188017210    0.0295140560    0.0019752992    
0.0189329290    0.0318647650    0.0020029758    
0.0190641380    0.0295832230    0.0019568294    
0.0191953460    0.0300201530    0.0019333340    
0.0193265550    0.0301840380    0.0019440479    
0.0194577630    0.0297056490    0.0019316108    
0.0195889710    0.0308969250    0.0019291767    
0.0197201800    0.0320476520    0.0019388514    
0.0198513880    0.0308898700    0.0018918635    
0.0199825970    0.0301415110    0.0019345732    
0.0201138050    0.0299627290    0.0018969034    
0.0202450140    0.0312638010    0.0018962756    
0.0203762220    0.0301800920    0.0019048541    
0.0205074310    0.0307701100    0.0018789075    
0.0206386390    0.0304850960    0.0018785097    
0.0207698470    0.0324917920    0.0019031116    
0.0209010560    0.0300570200    0.0018350309    
0.0210322640    0.0319559070    0.0018876178    
0.0211634730    0.0293290490    0.0018411313    
0.0212946810    0.0301878620    0.0018447785    
0.0214258900    0.0304959310    0.0018537301    
0.0215570980    0.0308727640    0.0018204438    
0.0216883070    0.0294647890    0.0018237069    
0.0218195150    0.0293805470    0.0018342209    
0.0219507240    0.0302567200    0.0017905026    
0.0220819320    0.0305528770    0.0018273234    
0.0222131400    0.0294507150    0.0018113648    
0.0223443490    0.0271477140    0.0017741606    
0.0224755570    0.0308713550    0.0018039334    
0.0226067660    0.0318090740    0.0017893680    
0.0227379740    0.0286524060    0.0017508741    
0.0228691830    0.0295112300    0.0017885229    
0.0230003910    0.0315424030    0.0017802815    
0.0231316000    0.0274012520    0.0017453467    
0.0232628080    0.0316539170    0.0017702912    
0.0233940160    0.0301175880    0.0017442967    
0.0235252250    0.0290402490    0.0017431516    
0.0236564330    0.0296148060    0.0017382408    
0.0237876420    0.0298753360    0.0017313428    
0.0239188500    0.0318063950    0.0017608874    
0.0240500590    0.0274304700    0.0016954438    
0.0241812670    0.0307318160    0.0017239983    
0.0243124760    0.0295628930    0.0016927295    
0.0244436840    0.0297132660    0.0017047406    
0.0245748920    0.0305840830    0.0017149734    
0.0247061010    0.0289722890    0.0016979803    
0.0248373090    0.0294380060    0.0016801135    
0.0249685180    0.0311738740    0.0017022827    
0.0250997260    0.0311227310    0.0016794998    
0.0252309350    0.0292034730    0.0016763131    
0.0253621430    0.0312358160    0.0016775372    
0.0254933520    0.0301194990    0.0016712252    
0.0256245600    0.0290276680    0.0016736597    
0.0257557680    0.0276176000    0.0016432467    
0.0258869770    0.0288944400    0.0016470175    
0.0260181850    0.0307059580    0.0016707932    
0.0261493940    0.0309704270    0.0016485334    
0.0262806020    0.0287897700    0.0016369802    
0.0264118110    0.0287375680    0.0016331025    
0.0265430190    0.0282752810    0.0016199111    
0.0266742280    0.0271300680    0.0016223732    
0.0268054360    0.0294552010    0.0016268782    
0.0269366450    0.0301543560    0.0016303813    
0.0270678530    0.0277330990    0.0016094602    
0.0271990610    0.0280389300    0.0015977123    
0.0273302700    0.0282804260    0.0016057051    
0.0274614780    0.0302041530    0.0016138091    
0.0275926870    0.0276049110    0.0016030107    
0.0277238950    0.0301182030    0.0016191218    
