# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472148_ascii/b21-472148_00008.dat
q(1/A)          Column          Error           
0.0045000000    0.5052055600    0.0185341940    
0.0046312084    0.4414920800    0.0176738280    
0.0047624169    0.4140370900    0.0157850160    
0.0048936253    0.3865464600    0.0146731030    
0.0050248338    0.3854325100    0.0146519460    
0.0051560422    0.3500125100    0.0130261170    
0.0052872507    0.3127107600    0.0122000090    
0.0054184591    0.2877287900    0.0115647370    
0.0055496676    0.2914103100    0.0108753360    
0.0056808760    0.2630592500    0.0106074480    
0.0058120845    0.2434384100    0.0096529488    
0.0059432929    0.2328191400    0.0093349002    
0.0060745014    0.2447095400    0.0096503559    
0.0062057098    0.2309054300    0.0088095822    
0.0063369183    0.1971273700    0.0083744872    
0.0064681267    0.2094258800    0.0083502624    
0.0065993352    0.1939015800    0.0077307528    
0.0067305436    0.1848636000    0.0077632450    
0.0068617521    0.1774302900    0.0072250441    
0.0069929605    0.1698677000    0.0070592018    
0.0071241689    0.1793360100    0.0073950259    
0.0072553774    0.1760069200    0.0070398448    
0.0073865858    0.1754650000    0.0071147124    
0.0075177943    0.1671590200    0.0067844502    
0.0076490027    0.1631990400    0.0065013603    
0.0077802112    0.1581325800    0.0065586287    
0.0079114196    0.1550362600    0.0063080306    
0.0080426281    0.1518338800    0.0062229372    
0.0081738365    0.1431078000    0.0060404664    
0.0083050450    0.1399304200    0.0058224188    
0.0084362534    0.1400069500    0.0057822714    
0.0085674619    0.1449873000    0.0059510448    
0.0086986703    0.1370181500    0.0056098031    
0.0088298788    0.1371786900    0.0056974589    
0.0089610872    0.1262589700    0.0053258048    
0.0090922957    0.1379147900    0.0054925366    
0.0092235041    0.1364703400    0.0055000146    
0.0093547126    0.1234555200    0.0050930496    
0.0094859210    0.1242184900    0.0051698210    
0.0096171294    0.1292804300    0.0051772422    
0.0097483379    0.1305006900    0.0051539590    
0.0098795463    0.1171133800    0.0049089061    
0.0100107550    0.1192260200    0.0047904996    
0.0101419630    0.1167513500    0.0048302668    
0.0102731720    0.1140083600    0.0047726992    
0.0104043800    0.1204555300    0.0047131232    
0.0105355890    0.1146087600    0.0046501463    
0.0106667970    0.1108011700    0.0044956568    
0.0107980050    0.1065770300    0.0043628445    
0.0109292140    0.1160194600    0.0046053645    
0.0110604220    0.1093850500    0.0043076578    
0.0111916310    0.1121009800    0.0043333091    
0.0113228390    0.1111210700    0.0043029017    
0.0114540480    0.1124529300    0.0042627619    
0.0115852560    0.1141928800    0.0041583643    
0.0117164650    0.1073166500    0.0040548469    
0.0118476730    0.1076374600    0.0039874099    
0.0119788820    0.1056958600    0.0039701600    
0.0121100900    0.1053811300    0.0038733240    
0.0122412980    0.1019577100    0.0037712826    
0.0123725070    0.1051011600    0.0038043101    
0.0125037150    0.1087407800    0.0037596538    
0.0126349240    0.1053069700    0.0036224996    
0.0127661320    0.0991723810    0.0034817318    
0.0128973410    0.0984040130    0.0034224727    
0.0130285490    0.0988710150    0.0034666085    
0.0131597580    0.1002782300    0.0034156590    
0.0132909660    0.0991797820    0.0033651718    
0.0134221740    0.1000406200    0.0033734250    
0.0135533830    0.1000201100    0.0033472438    
0.0136845910    0.1013389000    0.0033340274    
0.0138158000    0.0859784670    0.0031164273    
0.0139470080    0.0888963400    0.0031178612    
0.0140782170    0.1035098900    0.0033174991    
0.0142094250    0.0960843390    0.0031774673    
0.0143406340    0.0976487460    0.0031863255    
0.0144718420    0.0907644690    0.0030944254    
0.0146030500    0.0930787100    0.0031006304    
0.0147342590    0.0897544820    0.0030693694    
0.0148654670    0.0905928310    0.0030258739    
0.0149966760    0.0905336250    0.0030201959    
0.0151278840    0.0831175570    0.0029389016    
0.0152590930    0.0887673820    0.0029422085    
0.0153903010    0.0863179940    0.0029425600    
0.0155215100    0.0903945830    0.0029660568    
0.0156527180    0.0918404470    0.0029489247    
0.0157839260    0.0904188820    0.0029354379    
0.0159151350    0.0826687040    0.0027858230    
0.0160463430    0.0858418580    0.0028020455    
0.0161775520    0.0866712610    0.0028566231    
0.0163087600    0.0883882880    0.0028526403    
0.0164399690    0.0827367910    0.0027447426    
0.0165711770    0.0840315770    0.0027672845    
0.0167023860    0.0895781620    0.0027595585    
0.0168335940    0.0862394020    0.0027145759    
0.0169648030    0.0923768420    0.0027619111    
0.0170960110    0.0893279180    0.0027176907    
0.0172272190    0.0833498140    0.0026564283    
0.0173584280    0.0867048210    0.0026462932    
0.0174896360    0.0837711030    0.0026168368    
