# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472147_ascii/b21-472147_00011.dat
q(1/A)          Column          Error           
0.0045000000    0.4031292300    0.0165128170    
0.0046312084    0.3659825700    0.0160493970    
0.0047624169    0.3412277900    0.0142924590    
0.0048936253    0.3147090900    0.0132049000    
0.0050248338    0.2764786000    0.0123768820    
0.0051560422    0.2604107200    0.0112373780    
0.0052872507    0.2395778700    0.0106610550    
0.0054184591    0.2124767300    0.0099281753    
0.0055496676    0.2164033600    0.0093733230    
0.0056808760    0.1960490800    0.0091406437    
0.0058120845    0.1710727800    0.0080912848    
0.0059432929    0.1739765700    0.0080334193    
0.0060745014    0.1577561100    0.0078351723    
0.0062057098    0.1328762900    0.0067270932    
0.0063369183    0.1363224500    0.0070083504    
0.0064681267    0.1259201800    0.0065679107    
0.0065993352    0.1253605800    0.0062571215    
0.0067305436    0.1244185300    0.0064539654    
0.0068617521    0.1105299600    0.0058013581    
0.0069929605    0.0963520390    0.0055127714    
0.0071241689    0.1068582800    0.0058348777    
0.0072553774    0.0989007540    0.0054639433    
0.0073865858    0.0937479470    0.0053637786    
0.0075177943    0.0903300590    0.0051253340    
0.0076490027    0.0815531030    0.0049001224    
0.0077802112    0.0806348840    0.0049318828    
0.0079114196    0.0821685310    0.0048368509    
0.0080426281    0.0744031590    0.0046332190    
0.0081738365    0.0679548900    0.0045393383    
0.0083050450    0.0726348430    0.0044374984    
0.0084362534    0.0688229370    0.0043992942    
0.0085674619    0.0676361940    0.0043709565    
0.0086986703    0.0596175320    0.0040685220    
0.0088298788    0.0548114350    0.0040620893    
0.0089610872    0.0672996830    0.0042163713    
0.0090922957    0.0584337360    0.0039665061    
0.0092235041    0.0552840250    0.0039589417    
0.0093547126    0.0573512730    0.0038664048    
0.0094859210    0.0592308010    0.0039287145    
0.0096171294    0.0542857400    0.0038217931    
0.0097483379    0.0573293590    0.0038082082    
0.0098795463    0.0556066330    0.0037611569    
0.0100107550    0.0528132530    0.0035903661    
0.0101419630    0.0505616280    0.0036215353    
0.0102731720    0.0507613560    0.0036395895    
0.0104043800    0.0529620570    0.0035671326    
0.0105355890    0.0495766160    0.0035525911    
0.0106667970    0.0422195370    0.0033818577    
0.0107980050    0.0450031550    0.0033794399    
0.0109292140    0.0446419780    0.0033951119    
0.0110604220    0.0455119290    0.0032488362    
0.0111916310    0.0394611430    0.0031428828    
0.0113228390    0.0407330410    0.0031633388    
0.0114540480    0.0407600830    0.0031195018    
0.0115852560    0.0462792890    0.0031518605    
0.0117164650    0.0389898180    0.0030281946    
0.0118476730    0.0418320960    0.0029773074    
0.0119788820    0.0466367430    0.0030527813    
0.0121100900    0.0434462510    0.0029229894    
0.0122412980    0.0425535090    0.0029275328    
0.0123725070    0.0424374850    0.0029240242    
0.0125037150    0.0417630220    0.0027870116    
0.0126349240    0.0410990200    0.0027822664    
0.0127661320    0.0416209130    0.0027020774    
0.0128973410    0.0386488780    0.0026449513    
0.0130285490    0.0404588580    0.0027078469    
0.0131597580    0.0422900510    0.0026248479    
0.0132909660    0.0374739290    0.0025843367    
0.0134221740    0.0398277300    0.0026070709    
0.0135533830    0.0403586900    0.0025666294    
0.0136845910    0.0350946050    0.0025267591    
0.0138158000    0.0375759150    0.0025002941    
0.0139470080    0.0347548220    0.0024635725    
0.0140782170    0.0395108220    0.0025241251    
0.0142094250    0.0374222080    0.0024570841    
0.0143406340    0.0344649190    0.0024163760    
0.0144718420    0.0364957440    0.0024490352    
0.0146030500    0.0355616890    0.0024105732    
0.0147342590    0.0374843170    0.0024214040    
0.0148654670    0.0370323820    0.0024028981    
0.0149966760    0.0354450310    0.0023544211    
0.0151278840    0.0314119770    0.0023381765    
0.0152590930    0.0372773290    0.0023415680    
0.0153903010    0.0329914590    0.0023025843    
0.0155215100    0.0348673270    0.0023350429    
0.0156527180    0.0352373560    0.0022949024    
0.0157839260    0.0343504900    0.0022921607    
0.0159151350    0.0358015580    0.0022581193    
0.0160463430    0.0352200990    0.0022565913    
0.0161775520    0.0311153460    0.0022441777    
0.0163087600    0.0378111240    0.0022491974    
0.0164399690    0.0352843370    0.0022273992    
0.0165711770    0.0353157170    0.0022520150    
0.0167023860    0.0327244600    0.0021577513    
0.0168335940    0.0355351260    0.0021742887    
0.0169648030    0.0330006170    0.0021336773    
0.0170960110    0.0318736680    0.0021145466    
0.0172272190    0.0321774820    0.0021244725    
0.0173584280    0.0309895260    0.0020773535    
0.0174896360    0.0321899640    0.0020977729    
0.0176208450    0.0330028650    0.0021004817    
0.0177520530    0.0336759330    0.0020553340    
0.0178832620    0.0321391640    0.0020816735    
0.0180144700    0.0340917490    0.0020671813    
0.0181456790    0.0327142190    0.0020290984    
0.0182768870    0.0335018370    0.0020783559    
0.0184080950    0.0310323240    0.0020257838    
0.0185393040    0.0339347160    0.0020216893    
0.0186705120    0.0333601700    0.0020333615    
0.0188017210    0.0329879190    0.0019895396    
0.0189329290    0.0331130880    0.0020008364    
0.0190641380    0.0312115810    0.0019397979    
0.0191953460    0.0327811230    0.0019628251    
0.0193265550    0.0313003440    0.0019498318    
0.0194577630    0.0319216960    0.0019320000    
0.0195889710    0.0331548320    0.0019294719    
0.0197201800    0.0358889780    0.0019662890    
0.0198513880    0.0303168510    0.0018956544    
0.0199825970    0.0309164510    0.0018929830    
0.0201138050    0.0290945370    0.0018855195    
0.0202450140    0.0301594500    0.0018746607    
0.0203762220    0.0333523480    0.0019164007    
0.0205074310    0.0317893020    0.0018741078    
0.0206386390    0.0318610670    0.0018810962    
0.0207698470    0.0302531430    0.0018796075    
0.0209010560    0.0298503130    0.0018127297    
0.0210322640    0.0297616460    0.0018464288    
0.0211634730    0.0324946980    0.0018549255    
0.0212946810    0.0294135200    0.0018170890    
0.0214258900    0.0330967390    0.0018683881    
0.0215570980    0.0324895580    0.0018365356    
0.0216883070    0.0287622150    0.0017992322    
0.0218195150    0.0312497640    0.0018241907    
0.0219507240    0.0301054430    0.0017718942    
0.0220819320    0.0306759810    0.0018097968    
0.0222131400    0.0306626260    0.0017998467    
0.0223443490    0.0310556910    0.0017963055    
0.0224755570    0.0293578450    0.0017982045    
0.0226067660    0.0306494510    0.0017773034    
0.0227379740    0.0296117130    0.0017610054    
0.0228691830    0.0300066800    0.0017868262    
0.0230003910    0.0307103150    0.0017469042    
0.0231316000    0.0310104840    0.0017583096    
0.0232628080    0.0315468650    0.0017472377    
0.0233940160    0.0269908300    0.0017264489    
0.0235252250    0.0285351510    0.0017290936    
0.0236564330    0.0307763700    0.0017302832    
0.0237876420    0.0290241720    0.0017131788    
0.0239188500    0.0316473700    0.0017371970    
0.0240500590    0.0304350000    0.0017082589    
0.0241812670    0.0295756000    0.0017226875    
0.0243124760    0.0311625150    0.0016926387    
0.0244436840    0.0310922150    0.0017118903    
0.0245748920    0.0279157880    0.0016935201    
0.0247061010    0.0293603780    0.0016860136    
0.0248373090    0.0311543490    0.0016873466    
0.0249685180    0.0285539630    0.0016764560    
0.0250997260    0.0283747460    0.0016597640    
0.0252309350    0.0283394020    0.0016672448    
0.0253621430    0.0290928160    0.0016604125    
0.0254933520    0.0307169610    0.0016792205    
0.0256245600    0.0293086710    0.0016646185    
0.0257557680    0.0299901050    0.0016483575    
0.0258869770    0.0286573800    0.0016518098    
0.0260181850    0.0287853220    0.0016513456    
0.0261493940    0.0277837980    0.0016239818    
0.0262806020    0.0299250660    0.0016479061    
0.0264118110    0.0296780140    0.0016368234    
0.0265430190    0.0282674570    0.0016081193    
0.0266742280    0.0312137190    0.0016570477    
0.0268054360    0.0285575770    0.0016090871    
0.0269366450    0.0291132750    0.0016228404    
0.0270678530    0.0294577290    0.0016185280    
0.0271990610    0.0291943480    0.0015961637    
0.0273302700    0.0316345610    0.0016172737    
0.0274614780    0.0287955030    0.0015845182    
0.0275926870    0.0274237050    0.0015949960    
0.0277238950    0.0290951990    0.0015961944    
0.0278551040    0.0288746400    0.0015680895    
0.0279863120    0.0299384220    0.0015860315    
0.0281175210    0.0301625470    0.0015832912    
0.0282487290    0.0293179760    0.0015687931    
0.0283799370    0.0298038140    0.0015790443    
0.0285111460    0.0303403300    0.0015765142    
0.0286423540    0.0270062850    0.0015367845    
0.0287735630    0.0298936210    0.0015826921    
0.0289047710    0.0289987660    0.0015428714    
0.0290359800    0.0289033050    0.0015623979    
0.0291671880    0.0320828470    0.0015671086    
0.0292983970    0.0279522120    0.0015325501    
0.0294296050    0.0297678300    0.0015433547    
0.0295608130    0.0275219260    0.0015211587    
0.0296920220    0.0313062430    0.0015427211    
0.0298232300    0.0283098660    0.0015390199    
0.0299544390    0.0265709100    0.0015056357    
0.0300856470    0.0286739520    0.0015248683    
0.0302168560    0.0266310400    0.0015013555    
0.0303480640    0.0298726890    0.0015086163    
0.0304792730    0.0287399030    0.0015118843    
0.0306104810    0.0282363100    0.0015037455    
0.0307416890    0.0291101490    0.0015046031    
0.0308728980    0.0294437620    0.0015174375    
0.0310041060    0.0291699430    0.0014961417    
0.0311353150    0.0287800940    0.0015057522    
0.0312665230    0.0323319480    0.0015374367    
0.0313977320    0.0297007040    0.0015261231    
0.0315289400    0.0289398880    0.0015313370    
0.0316601490    0.0282137580    0.0015273500    
0.0317913570    0.0295868170    0.0015355259    
0.0319225660    0.0281081240    0.0015455644    
0.0320537740    0.0299103660    0.0015352693    
0.0321849820    0.0288682260    0.0015527379    
0.0323161910    0.0283249400    0.0015354461    
0.0324473990    0.0291973750    0.0015246010    
0.0325786080    0.0292138990    0.0015418138    
0.0327098160    0.0286260080    0.0015326626    
0.0328410250    0.0309918030    0.0015581418    
0.0329722330    0.0278245880    0.0015414775    
0.0331034420    0.0301936450    0.0015314801    
0.0332346500    0.0283984980    0.0015391562    
0.0333658580    0.0278213040    0.0015318456    
0.0334970670    0.0277273520    0.0015327030    
0.0336282750    0.0302371510    0.0015498003    
0.0337594840    0.0282742350    0.0015394102    
0.0338906920    0.0275833720    0.0015265476    
0.0340219010    0.0285767810    0.0015497603    
0.0341531090    0.0292402320    0.0015314838    
0.0342843180    0.0285194120    0.0015338797    
0.0344155260    0.0286483280    0.0015327928    
0.0345467340    0.0291799500    0.0015299615    
0.0346779430    0.0280484400    0.0015337573    
