# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472145_ascii/b21-472145_00012.dat
q(1/A)          Column          Error           
0.0045000000    0.5263590400    0.0189809920    
0.0046312084    0.5085257900    0.0190310990    
0.0047624169    0.4700986200    0.0168755570    
0.0048936253    0.4524725200    0.0159376530    
0.0050248338    0.3874331200    0.0147386500    
0.0051560422    0.3816186300    0.0136553770    
0.0052872507    0.3559940300    0.0130689400    
0.0054184591    0.3512069800    0.0128071900    
0.0055496676    0.3362457100    0.0117279070    
0.0056808760    0.3200826600    0.0117268790    
0.0058120845    0.2931440500    0.0106194880    
0.0059432929    0.2956678300    0.0105127380    
0.0060745014    0.2791804500    0.0103399780    
0.0062057098    0.2807522000    0.0097508987    
0.0063369183    0.2628144900    0.0096611742    
0.0064681267    0.2621876600    0.0093578714    
0.0065993352    0.2442174500    0.0086560512    
0.0067305436    0.2462791900    0.0089570795    
0.0068617521    0.2380482000    0.0083589777    
0.0069929605    0.2301425600    0.0082141335    
0.0071241689    0.2132408200    0.0080539213    
0.0072553774    0.2085749000    0.0076569977    
0.0073865858    0.2008465500    0.0075857473    
0.0075177943    0.2023081000    0.0074773504    
0.0076490027    0.2105605900    0.0073844840    
0.0077802112    0.1875421400    0.0071085855    
0.0079114196    0.2023747700    0.0072228574    
0.0080426281    0.1952573700    0.0070137996    
0.0081738365    0.1904888900    0.0069188619    
0.0083050450    0.1961645000    0.0068417049    
0.0084362534    0.1778774900    0.0064949632    
0.0085674619    0.1759994600    0.0065180139    
0.0086986703    0.1756067400    0.0062836829    
0.0088298788    0.1723826900    0.0063322752    
0.0089610872    0.1789348900    0.0062560866    
0.0090922957    0.1615413200    0.0059296174    
0.0092235041    0.1669694800    0.0060326052    
0.0093547126    0.1667266000    0.0058903529    
0.0094859210    0.1612136900    0.0058092607    
0.0096171294    0.1554782200    0.0056794858    
0.0097483379    0.1555569000    0.0055727628    
0.0098795463    0.1614818000    0.0056945053    
0.0100107550    0.1625517600    0.0055169341    
0.0101419630    0.1638840600    0.0056703128    
0.0102731720    0.1514299700    0.0054381236    
0.0104043800    0.1470740700    0.0051605466    
0.0105355890    0.1566646200    0.0053635783    
0.0106667970    0.1547866900    0.0052616897    
0.0107980050    0.1461740400    0.0050251529    
0.0109292140    0.1535610400    0.0052383313    
0.0110604220    0.1496808800    0.0049719705    
0.0111916310    0.1451799900    0.0048850140    
0.0113228390    0.1445835100    0.0048107088    
0.0114540480    0.1426842000    0.0047283735    
0.0115852560    0.1454880600    0.0046725981    
0.0117164650    0.1396234100    0.0045717038    
0.0118476730    0.1436760100    0.0045312555    
0.0119788820    0.1367775500    0.0044615631    
0.0121100900    0.1348538100    0.0043296387    
0.0122412980    0.1375074500    0.0043147705    
0.0123725070    0.1296142500    0.0041825734    
0.0125037150    0.1388256200    0.0041842747    
0.0126349240    0.1352870900    0.0040686625    
0.0127661320    0.1358025800    0.0039808959    
0.0128973410    0.1371657100    0.0039709037    
0.0130285490    0.1357200500    0.0039794503    
0.0131597580    0.1389485600    0.0039443032    
0.0132909660    0.1304761000    0.0038115405    
0.0134221740    0.1316012400    0.0037993000    
0.0135533830    0.1334414400    0.0037970738    
0.0136845910    0.1289822800    0.0037129374    
0.0138158000    0.1326281600    0.0037289496    
0.0139470080    0.1243547900    0.0036039822    
0.0140782170    0.1232804700    0.0035811204    
0.0142094250    0.1287360500    0.0035993564    
0.0143406340    0.1243090100    0.0035488481    
0.0144718420    0.1227211400    0.0035048364    
0.0146030500    0.1222220100    0.0034665616    
0.0147342590    0.1195148300    0.0034613590    
0.0148654670    0.1235930100    0.0034400476    
0.0149966760    0.1283762500    0.0034806574    
0.0151278840    0.1200242800    0.0033870772    
0.0152590930    0.1255639000    0.0033970023    
0.0153903010    0.1177844100    0.0033156311    
0.0155215100    0.1203543000    0.0033428708    
0.0156527180    0.1220210700    0.0033334049    
0.0157839260    0.1198860000    0.0032860537    
