# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472154_ascii/b21-472154_00007.dat
q(1/A)          Column          Error           
0.0045000000    0.4853819800    0.0180640470    
0.0046312084    0.4421020700    0.0175858760    
0.0047624169    0.3938909000    0.0153090050    
0.0048936253    0.3766738600    0.0144024850    
0.0050248338    0.3304156800    0.0135004000    
0.0051560422    0.3086735200    0.0121728810    
0.0052872507    0.2894141200    0.0116703040    
0.0054184591    0.2615742400    0.0109465410    
0.0055496676    0.2415706200    0.0098538575    
0.0056808760    0.2339952500    0.0099592413    
0.0058120845    0.2176402900    0.0090840753    
0.0059432929    0.2088962100    0.0087881123    
0.0060745014    0.1954321700    0.0086030254    
0.0062057098    0.1888100500    0.0079292279    
0.0063369183    0.1823939800    0.0079905935    
0.0064681267    0.1729873400    0.0076063235    
0.0065993352    0.1555964300    0.0069024289    
0.0067305436    0.1536977800    0.0070876960    
0.0068617521    0.1509817200    0.0066518425    
0.0069929605    0.1429293700    0.0064881964    
0.0071241689    0.1442879700    0.0066323368    
0.0072553774    0.1305143100    0.0060763710    
0.0073865858    0.1233969800    0.0060143257    
0.0075177943    0.1202461900    0.0058138384    
0.0076490027    0.1123683200    0.0054451564    
0.0077802112    0.1216613200    0.0057808836    
0.0079114196    0.1095612700    0.0053895127    
0.0080426281    0.1212784500    0.0055994244    
0.0081738365    0.1153624400    0.0054565308    
0.0083050450    0.1109585900    0.0051802140    
0.0084362534    0.1053791700    0.0050577536    
0.0085674619    0.1049358100    0.0050995853    
0.0086986703    0.1015479300    0.0049107557    
0.0088298788    0.0972010600    0.0049006250    
0.0089610872    0.1003350600    0.0047776660    
0.0090922957    0.0938507720    0.0046341903    
0.0092235041    0.0978023370    0.0047675362    
0.0093547126    0.0958764620    0.0045975230    
0.0094859210    0.0988614530    0.0046601869    
0.0096171294    0.0909873670    0.0044385702    
0.0097483379    0.0873055640    0.0043448896    
0.0098795463    0.0967192830    0.0045138572    
0.0100107550    0.0891815450    0.0042207573    
0.0101419630    0.0872830290    0.0043039926    
0.0102731720    0.0860878850    0.0042189523    
0.0104043800    0.0918134000    0.0041971840    
0.0105355890    0.0873427820    0.0041794109    
0.0106667970    0.0785937950    0.0039103653    
0.0107980050    0.0787368400    0.0039073253    
0.0109292140    0.0761861230    0.0039141460    
0.0110604220    0.0735863560    0.0036978535    
0.0111916310    0.0792358410    0.0037643438    
0.0113228390    0.0757164150    0.0036762258    
0.0114540480    0.0822243180    0.0037149242    
0.0115852560    0.0735384700    0.0034994683    
0.0117164650    0.0717850570    0.0034792945    
0.0118476730    0.0777856620    0.0034964793    
0.0119788820    0.0770234820    0.0035109137    
0.0121100900    0.0775159510    0.0034130387    
0.0122412980    0.0730423250    0.0033127601    
0.0123725070    0.0784788240    0.0033961469    
0.0125037150    0.0732437520    0.0032016085    
0.0126349240    0.0689030980    0.0030945182    
0.0127661320    0.0683123940    0.0030475631    
0.0128973410    0.0716835480    0.0030348789    
0.0130285490    0.0619851510    0.0029009861    
0.0131597580    0.0648136830    0.0029015695    
0.0132909660    0.0695465910    0.0029609902    
0.0134221740    0.0651004980    0.0028774818    
0.0135533830    0.0704298200    0.0029366102    
0.0136845910    0.0690542460    0.0028685843    
0.0138158000    0.0645816100    0.0027945886    
0.0139470080    0.0663151670    0.0028012658    
0.0140782170    0.0627730180    0.0027749182    
0.0142094250    0.0631730020    0.0027433932    
0.0143406340    0.0649699340    0.0027583106    
0.0144718420    0.0675406840    0.0027750117    
0.0146030500    0.0652170510    0.0027410247    
0.0147342590    0.0618751710    0.0026707126    
0.0148654670    0.0703502680    0.0027422976    
0.0149966760    0.0626398190    0.0026629620    
0.0151278840    0.0621724070    0.0026613732    
0.0152590930    0.0603492750    0.0025968525    
0.0153903010    0.0619087350    0.0025983582    
0.0155215100    0.0609721190    0.0025853005    
0.0156527180    0.0591117700    0.0025354545    
0.0157839260    0.0596835980    0.0025299814    
0.0159151350    0.0560586780    0.0024560925    
0.0160463430    0.0600215980    0.0025299150    
0.0161775520    0.0587676410    0.0024937945    
0.0163087600    0.0603252040    0.0025020301    
0.0164399690    0.0548011890    0.0023938891    
0.0165711770    0.0580450550    0.0024551127    
0.0167023860    0.0582553540    0.0023828175    
0.0168335940    0.0610121370    0.0024229576    
0.0169648030    0.0561537600    0.0023307067    
0.0170960110    0.0573039950    0.0023258356    
0.0172272190    0.0596494430    0.0023742099    
0.0173584280    0.0593042900    0.0023364368    
0.0174896360    0.0567983860    0.0022950703    
0.0176208450    0.0556462170    0.0023072607    
0.0177520530    0.0574480730    0.0022784200    
0.0178832620    0.0553307690    0.0022749867    
0.0180144700    0.0558011440    0.0022599299    
0.0181456790    0.0544865870    0.0022406393    
0.0182768870    0.0544239040    0.0022352338    
0.0184080950    0.0572324550    0.0022323135    
0.0185393040    0.0553866000    0.0022087142    
0.0186705120    0.0558257470    0.0022248126    
0.0188017210    0.0539253320    0.0021803545    
0.0189329290    0.0552967040    0.0022045919    
0.0190641380    0.0552966320    0.0021502500    
0.0191953460    0.0568605320    0.0021477897    
0.0193265550    0.0515138350    0.0021131960    
0.0194577630    0.0539922290    0.0021281041    
0.0195889710    0.0513353980    0.0020766977    
0.0197201800    0.0526979200    0.0020963739    
0.0198513880    0.0521223680    0.0020630895    
0.0199825970    0.0509071080    0.0020844492    
0.0201138050    0.0542053290    0.0020748676    
0.0202450140    0.0550637360    0.0020737906    
0.0203762220    0.0533271920    0.0020672592    
0.0205074310    0.0516492300    0.0020319746    
0.0206386390    0.0541613130    0.0020440907    
0.0207698470    0.0528860560    0.0020542726    
0.0209010560    0.0494103060    0.0019844666    
0.0210322640    0.0526324740    0.0020138334    
0.0211634730    0.0500630430    0.0019841946    
0.0212946810    0.0533994030    0.0020113292    
0.0214258900    0.0547304540    0.0020396836    
0.0215570980    0.0508307000    0.0019635358    
